keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Nebel Auffahrunfall',0.1496803415655895,0.7151697238173341,0.043875924599256336,0.6936024241846834,5.0
'Nebel Klimawandel',0.3375372823624363,1.28790740280618,0.35832013820211767,0.8611929601466205,6.0
'Nebel Nebelschlussleuchte',-0.1950282779428408,1.2098394450277299,-0.15513294253895635,0.7043003011313349,5.0
'Nebel Schaden',-0.26368402482994263,1.0033043265775108,-0.27495547312356444,0.14621344191001195,6.0
'Nebel Sichtweite',0.07243871146634562,0.7522122199921588,0.4412969547652115,1.1954353502076736,7.0
'Nebel Tote',-0.06964373498732204,0.9187496582455371,0.12463199787642155,1.1355115793663413,23.0
'Nebel Verkehrsunfall',-0.34991982284469025,0.9208175381094845,-0.301791078569084,0.18583125877937484,5.0
'Nebel Verletzte',-0.33584907679128223,0.7631089883039057,-0.3448676829972818,0.15263047689716927,9.0
'Nebel Vorhersage',0.21906039283684287,1.0815233892094547,0.14507400823364264,1.2464007510359676,38.0
'Nebel Wetter',0.003092733709900233,0.9652103319161501,-0.023688075549481703,0.9564601420551555,190.0
'Nebel Witterung',0.617094446628193,0.6759842446439005,0.13650057779038532,0.8846478857642217,4.0
'Nebel schlechte Sicht',-0.5856717075638748,0.7462940619848863,-0.3456760068290867,0.5178183293397611,6.0
'Nebeltage',-0.5853807326021715,0.6500586555729791,-0.21724656316624144,0.509263544919084,3.0
